Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 10 a suma 46
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 15 a suma 74
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 12 a suma 39
Dla a = 3 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 2
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 27
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 10 a suma 64
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 13 a suma 65
Dla a = 3 , w = 1 , t = 0 najwyzszy wynik wynosi 20 a suma 94
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 9
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 5 a suma 15
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 23 a suma 735
Dla a = 3 , w = 2 , t = 0 najwyzszy wynik wynosi 18 a suma 91
Dla a = 0 , w = 3 , t = 0 najwyzszy wynik wynosi 11 a suma 73
Dla a = 1 , w = 3 , t = 0 najwyzszy wynik wynosi 2 a suma 10
Dla a = 2 , w = 3 , t = 0 najwyzszy wynik wynosi 4 a suma 45
Dla a = 3 , w = 3 , t = 0 najwyzszy wynik wynosi 5 a suma 19
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 18 a suma 158
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 10
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 8
Dla a = 3 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 23
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 22 a suma 164
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 24 a suma 168
Dla a = 3 , w = 1 , t = 1 najwyzszy wynik wynosi 26 a suma 389
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 11 a suma 28
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 27 a suma 236
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 6
Dla a = 3 , w = 2 , t = 1 najwyzszy wynik wynosi 11 a suma 44
Dla a = 0 , w = 3 , t = 1 najwyzszy wynik wynosi 6 a suma 29
Dla a = 1 , w = 3 , t = 1 najwyzszy wynik wynosi 1 a suma 1
Dla a = 2 , w = 3 , t = 1 najwyzszy wynik wynosi 3 a suma 23
Dla a = 3 , w = 3 , t = 1 najwyzszy wynik wynosi 0 a suma 0
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 9 a suma 26
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 6 a suma 48
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 12 a suma 58
Dla a = 3 , w = 0 , t = 2 najwyzszy wynik wynosi 11 a suma 102
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 24
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 23 a suma 163
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 17 a suma 33
Dla a = 3 , w = 1 , t = 2 najwyzszy wynik wynosi 16 a suma 73
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 6
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 19 a suma 31
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 7 a suma 59
Dla a = 3 , w = 2 , t = 2 najwyzszy wynik wynosi 5 a suma 16
Dla a = 0 , w = 3 , t = 2 najwyzszy wynik wynosi 1 a suma 5
Dla a = 1 , w = 3 , t = 2 najwyzszy wynik wynosi 1 a suma 2
Dla a = 2 , w = 3 , t = 2 najwyzszy wynik wynosi 6 a suma 31
Dla a = 3 , w = 3 , t = 2 najwyzszy wynik wynosi 6 a suma 23
Dla a = 0 , w = 0 , t = 3 najwyzszy wynik wynosi 7 a suma 33
Dla a = 1 , w = 0 , t = 3 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 0 , t = 3 najwyzszy wynik wynosi 2 a suma 17
Dla a = 3 , w = 0 , t = 3 najwyzszy wynik wynosi 0 a suma 0
Dla a = 0 , w = 1 , t = 3 najwyzszy wynik wynosi 5 a suma 19
Dla a = 1 , w = 1 , t = 3 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 1 , t = 3 najwyzszy wynik wynosi 1 a suma 6
Dla a = 3 , w = 1 , t = 3 najwyzszy wynik wynosi 1 a suma 8
Dla a = 0 , w = 2 , t = 3 najwyzszy wynik wynosi 8 a suma 53
Dla a = 1 , w = 2 , t = 3 najwyzszy wynik wynosi 1 a suma 2
Dla a = 2 , w = 2 , t = 3 najwyzszy wynik wynosi 2 a suma 10
Dla a = 3 , w = 2 , t = 3 najwyzszy wynik wynosi 24 a suma 150
Dla a = 0 , w = 3 , t = 3 najwyzszy wynik wynosi 7 a suma 54
Dla a = 1 , w = 3 , t = 3 najwyzszy wynik wynosi 2 a suma 13
Dla a = 2 , w = 3 , t = 3 najwyzszy wynik wynosi 2 a suma 14
Dla a = 3 , w = 3 , t = 3 najwyzszy wynik wynosi 0 a suma 0


<0,2> 0.1 8
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 14 a suma 111
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 12 a suma 49
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 9
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 11
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 20 a suma 465
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 16 a suma 217
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 11 a suma 60
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 7
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 6
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 10
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 14 a suma 53
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 15 a suma 63
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 11
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 29 a suma 290
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 4 a suma 23
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 28 a suma 363
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 20
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 12
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 10 a suma 28
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 21 a suma 108
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 26
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 49
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 23 a suma 149
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 2 a suma 8
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 12 a suma 52
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 5

<0,2> 0.1 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 8 a suma 22
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 53
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 14
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 13 a suma 55
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 12 a suma 108
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 18 a suma 86
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 6
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 12 a suma 56
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 51
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 7 a suma 19
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 14
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 15 a suma 105
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 24 a suma 516
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 11 a suma 48
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 4
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 14 a suma 114
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 30 a suma 99
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 22 a suma 61
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 12 a suma 72
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 49
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 13 a suma 50
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 8 a suma 34
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 14 a suma 239


<0,2> 0.1 5
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 12
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 6 a suma 59
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 9 a suma 54
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 7 a suma 24
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 9
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 19
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 4
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 15 a suma 169
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 14 a suma 85
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 6
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 9
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 23 a suma 370
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 17 a suma 255
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 6 a suma 54
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 26 a suma 146
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 16
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 42
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 22
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 20 a suma 268
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 5 a suma 13
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 9
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 8
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 28 a suma 177
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 1
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 20 a suma 101
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 4 a suma 24

<0,2> 0.1 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 29
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 7
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 6
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 9
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 16 a suma 66
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 8
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 20 a suma 146
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 19 a suma 130
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 15
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 7
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 2
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 16 a suma 53
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 13 a suma 100
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 10
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 3
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 6 a suma 18
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 4 a suma 9
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 4 a suma 7
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 20 a suma 181
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 16 a suma 103
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 23 a suma 50
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 16 a suma 98
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 7 a suma 17
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 3 a suma 19

<0,2> 0.1 9
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 16
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 13 a suma 19
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 22
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 7 a suma 56
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 5 a suma 45
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 9
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 3 a suma 7
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 15 a suma 57
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 20 a suma 87
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 37
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 12 a suma 82
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 15 a suma 54
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 15 a suma 85
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 7 a suma 44
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 15 a suma 179
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 5 a suma 29
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 18
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 9 a suma 61
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 15 a suma 80
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 17
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 4
